id,Viti,Kategoria_Ekonomike,Drejtoria,Shuma,tremujori
197,2016,11 - Paga dhe Mëditje,Inspekcioni,71451,4
198,2016,11 - Paga dhe Mëditje,Prokurimi,11060,4
199,2016,11 - Paga dhe Mëditje,Zyra e Kuvendit Komunal,46232,4
200,2016,11 - Paga dhe Mëditje,Buxhet dhe Financa,110989,4
201,2016,11 - Paga dhe Mëditje,Infrastruktura Rrugore,36778,4
202,2016,11 - Paga dhe Mëditje,Infrastruktura Publike,39881,4
203,2016,11 - Paga dhe Mëditje,Zjarrfiksat,175254,4
204,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,6181,4
205,2016,11 - Paga dhe Mëditje,Bujqësia ,24645,4
206,2016,11 - Paga dhe Mëditje,Zhvillimi Ekonomik,15144,4
207,2016,11 - Paga dhe Mëditje,Shërbimet Kadastrale,42303,4
208,2016,11 - Paga dhe Mëditje,Planifikimi Urban dhe Inspekcioni,77845,4
209,2016,11 - Paga dhe Mëditje,Kultura ,95510,4
210,2016,11 - Paga dhe Mëditje,Sport,4341,4
211,2016,11 - Paga dhe Mëditje,Administrata e Shëndetësisë,9584,4
212,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,1473290,4
213,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,57285,4
214,2016,11 - Paga dhe Mëditje,Administra e Arsimit,30425,4
215,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),337726,4
216,2016,11 - Paga dhe Mëditje,Arsimi Fillor,2942190,4
217,2016,11 - Paga dhe Mëditje,Arsimi i Mesëm,1199050,4
218,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,19302,3
219,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),6199,3
220,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,65276,2
221,2016,13 - Mallra dhe Shërbime,Kultura,27642,4
222,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,13127,1
223,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,24540,1
224,2016,13 - Mallra dhe Shërbime,Zyrja për Komunitete dhe Kthim,30192,4
225,2016,13 - Mallra dhe Shërbime,Zyrja për Komunitete dhe Kthim,81140,3
226,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,46259,2
227,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,29229,3
228,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,53662,3
229,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,83118,2
230,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),63183,1
231,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),35436,3
232,2016,13 - Mallra dhe Shërbime,Infrastruktura Publike,14648,1
233,2016,13 - Mallra dhe Shërbime,Kultura,62127,2
234,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,47420,1
235,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,65206,2
236,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,87954,4
237,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,39458,4
238,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,35285,2
239,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,26480,3
240,2016,20 - Subvencione dhe Transfere,Arsimi Parafillor (Qerdhet),81914,2
241,2016,30 - Shpenzimet Kapitale,Kultura,86928,1
242,2016,20 - Subvencione dhe Transfere,Arsimi Parafillor (Qerdhet),51940,3
243,2016,20 - Subvencione dhe Transfere,Kultura,36819,2
244,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,73597,3
245,2016,132 - Shpenzimet Komunale,Kultura,85645,3
246,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),81864,1
247,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,28967,4
248,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,69767,2
249,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,20754,3
250,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,27052,4
251,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,85305,3
252,2016,132 - Shpenzimet Komunale,Kultura,46774,1
253,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,77283,2
254,2016,30 - Shpenzimet Kapitale,Shërbimet Sociale,71018,2
255,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,58964,1
256,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,14601,4
257,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,73850,3
258,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,30276,2
259,2016,11 - Paga dhe Mëditje,Kultura,88192,1
260,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,70344,4
261,2016,20 - Subvencione dhe Transfere,Arsimi Parafillor (Qerdhet),6965,3
262,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,88799,1
263,2016,30 - Shpenzimet Kapitale,Kultura,55611,4
264,2016,20 - Subvencione dhe Transfere,Kultura,59068,3
265,2016,30 - Shpenzimet Kapitale,Administrata dhe Personeli,35924,4
266,2016,20 - Subvencione dhe Transfere,Infrastruktura Publike,31840,2
267,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),79430,1
268,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,81852,4
269,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,29630,3
270,2016,132 - Shpenzimet Komunale,Kultura,27206,3
271,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,87046,2
272,2016,132 - Shpenzimet Komunale,Arsimi Parafillor (Qerdhet),86173,2
273,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,36307,4
274,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,52232,1
275,2016,132 - Shpenzimet Komunale,Arsimi Parafillor (Qerdhet),58701,2
276,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,14300,2
277,2016,20 - Subvencione dhe Transfere,Zyrja për Komunitete dhe Kthim,1346,3
278,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,8479,2
279,2016,30 - Shpenzimet Kapitale,Zyrja për Komunitete dhe Kthim,82112,4
280,2016,30 - Shpenzimet Kapitale,Zyrja për Komunitete dhe Kthim,84939,1
281,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,12339,1
282,2016,20 - Subvencione dhe Transfere,Kultura,2419,1
283,2016,11 - Paga dhe Mëditje,Administrata dhe Personeli,40739,1
284,2016,132 - Shpenzimet Komunale,Arsimi Parafillor (Qerdhet),46356,2
285,2016,20 - Subvencione dhe Transfere,Zyrja për Komunitete dhe Kthim,23643,1
286,2016,30 - Shpenzimet Kapitale,Kultura,61196,4
287,2016,30 - Shpenzimet Kapitale,Shërbimet Sociale,89922,2
288,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,48704,1
289,2016,11 - Paga dhe Mëditje,Kultura,29968,4
290,2016,20 - Subvencione dhe Transfere,Zyrja për Komunitete dhe Kthim,36950,3
291,2016,11 - Paga dhe Mëditje,Administrata e Arsimit,45137,1
292,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,52733,2
293,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,20372,1
294,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,44676,3
295,2016,30 - Shpenzimet Kapitale,Shërbimet Sociale,81045,1
296,2016,11 - Paga dhe Mëditje,Kultura,66758,2
297,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,68547,3
298,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,25689,2
299,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,8411,2
300,2016,20 - Subvencione dhe Transfere,Kultura,87464,2
301,2016,30 - Shpenzimet Kapitale,Arsimi Parafillor (Qerdhet),13377,2
302,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,1917,4
303,2016,20 - Subvencione dhe Transfere,Shërbimet e Shëndetësisë Primare,72736,4
304,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,33244,2
305,2016,20 - Subvencione dhe Transfere,Kultura,17243,4
306,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,54162,3
307,2016,20 - Subvencione dhe Transfere,Shërbimet e Shëndetësisë Primare,12661,2
308,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,28383,2
309,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,1456,2
310,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,9972,3
311,2016,132 - Shpenzimet Komunale,Arsimi Parafillor (Qerdhet),1571,4
312,2016,20 - Subvencione dhe Transfere,Infrastruktura Publike,17623,4
313,2016,11 - Paga dhe Mëditje,Kultura,67943,1
314,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),17430,3
315,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,43001,4
316,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,76803,2
317,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,35140,1
318,2016,132 - Shpenzimet Komunale,Kultura,59647,3
319,2016,20 - Subvencione dhe Transfere,Kultura,36107,3
320,2016,20 - Subvencione dhe Transfere,Kultura,71586,2
321,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,22888,3
322,2016,30 - Shpenzimet Kapitale,Kultura,3994,3
323,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,79817,1
324,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,1179,4
325,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,51032,3
326,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,31170,2
327,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,43127,4
328,2016,132 - Shpenzimet Komunale,Kultura,60922,1
329,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,54578,1
330,2016,30 - Shpenzimet Kapitale,Zyrja për Komunitete dhe Kthim,83758,1
331,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,64903,3
332,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,83685,2
333,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,69852,3
334,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,36686,2
335,2016,11 - Paga dhe Mëditje,Administrata e Arsimit,80672,4
336,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,7246,3
337,2016,20 - Subvencione dhe Transfere,Kultura,50794,3
338,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,30093,2
339,2016,132 - Shpenzimet Komunale,Kultura,37494,1
340,2016,30 - Shpenzimet Kapitale,Kultura,68400,1
341,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,86447,3
342,2016,30 - Shpenzimet Kapitale,Administrata dhe Personeli,88901,4
343,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,1864,3
344,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),12366,1
345,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,15507,2
346,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,69832,2
347,2016,20 - Subvencione dhe Transfere,Zyrja për Komunitete dhe Kthim,9662,3
348,2016,11 - Paga dhe Mëditje,Administrata dhe Personeli,25909,2
349,2016,20 - Subvencione dhe Transfere,Shërbimet e Shëndetësisë Primare,4717,3
350,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,58975,3
351,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,34571,1
352,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,52941,1
353,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,4785,1
354,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),27772,1
355,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,50482,1
356,2016,20 - Subvencione dhe Transfere,Zyrja për Komunitete dhe Kthim,63341,4
357,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,34447,3
358,2016,20 - Subvencione dhe Transfere,Infrastruktura Publike,37440,3
359,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,10766,3
360,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,36305,1
361,2016,30 - Shpenzimet Kapitale,Administrata e Arsimit,26636,4
362,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,54350,2
363,2016,30 - Shpenzimet Kapitale,Zyrja për Komunitete dhe Kthim,62990,4
364,2016,132 - Shpenzimet Komunale,Kultura,23892,3
365,2016,30 - Shpenzimet Kapitale,Arsimi Parafillor (Qerdhet),48740,2
366,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,30361,2
367,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,81965,1
368,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,50917,4
369,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,21136,2
370,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,83070,1
